Player,Team,Goals,Assists,Matches,Shots
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
